"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - A5",19,"R2",0.00137165037925405,"R2_16","c3",0.513,513,909.631905522091,9.09631905522091e-10,0.0703464190248089,6.39893471841924e-05,"heatstress","active",4,"F",2022-04-23,3,2
"Test - B5",19,"R2",0.00220615420606689,"R2_33","c3",0.511,511,899.31535192698,8.9931535192698e-10,0.114442703849347,0.000102920080487751,"heatstress","active",2,"M",2022-04-23,3,2
"Test - A6",19,"R2",0.00250624524589723,"R2_21","c2",0.435,435,561.968029425867,5.61968029425867e-10,0.208054066509529,0.000116919733770399,"control","active",1,"F",2022-04-23,3,1
"Test - B6",19,"R2",0.00247329953606686,"R2_34","c3",0.511,511,899.31535192698,8.9931535192698e-10,0.128300680686074,0.000115382771803668,"control","active",6,"M",2022-04-23,3,2
"Test - A2",20,"R2",-7.73105000612116e-05,"R2_3","c2",0.394,394,420.893236076635,4.20893236076635e-10,-0.00856902870521577,-3.60664622177185e-06,"heatstress","active",5,"F",2022-04-24,4,1
"Test - B2",20,"R2",0.00501214600875968,"R2_24","c4",0.593,593,1388.80951542536,1.38880951542536e-09,0.168362781599872,0.000233823833129384,"heatstress","active",2,"F",2022-04-24,4,2
"Test - C2",20,"R2",-0.000364198733761789,"R2_35","c1",0.313,313,214.937624349714,2.14937624349714e-10,-0.0790480295957278,-1.69903956908316e-05,"heatstress","active",2,"F",2022-04-24,4,3
"Test - A3",20,"R2",0.00390178237529921,"R2_10","c3",0.598,598,1423.28029285887,1.42328029285887e-09,0.1278903183433,0.000182023769745467,"heatstress","active",2,NA,2022-04-24,4,1
"Test - B3",20,"R2",-0.000410624833933789,"R2_25","c2",0.429,429,539.632716556785,5.39632716556785e-10,-0.0354986633867964,-1.91562401575518e-05,"control","active",1,"F",2022-04-24,4,2
"Test - C3",20,"R2",0.00432898885445286,"R2_40","c4",0.578,578,1288.70130105028,1.28870130105028e-09,0.156710920816042,0.000201953567544421,"heatstress","active",2,"M",2022-04-24,4,1
"Test - A4",20,"R2",0.00248404587896544,"R2_11","c3",0.517,517,930.497829924228,9.30497829924228e-10,0.124540128627119,0.000115884319426018,"control","active",3,"F",2022-04-24,4,1
"Test - B4",20,"R2",0.00301480785685343,"R2_27","c3",0.493,493,809.908548785604,8.09908548785604e-10,0.173655569707476,0.000140645130450319,"control","active",3,NA,2022-04-24,4,2
"Test - A5",20,"R2",0.00443209585570074,"R2_20","c4",0.579,579,1295.22251401451,1.29522251401451e-09,0.15963562668081,0.000206763657715801,"heatstress","active",2,"F",2022-04-24,4,2
"Test - B5",20,"R2",0.0038686270724294,"R2_28","c3",0.506,506,873.861262654262,8.73861262654262e-10,0.206528238299668,0.000180477027094308,"control","active",1,"F",2022-04-24,4,2
"Test - A6",20,"R2",0.00487980275554707,"R2_21","c3",0.508,508,883.985250269708,8.83985250269708e-10,0.257526728651784,0.000227649829678386,"control","active",1,"F",2022-04-24,4,1
"Test - B6",20,"R2",0.00513817747468471,"R2_30","c4",0.601,601,1444.23024934537,1.44423024934537e-09,0.165973107624383,0.000239703382608988,"control","active",1,"M",2022-04-24,4,1
"Test - A2",21,"R2",0.00413181090003634,"R2_3","c3",0.504,504,863.813814514725,8.63813814514725e-10,0.223143933063545,0.000192754812005439,"heatstress","active",5,"F",2022-04-25,5,2
"Test - B2",21,"R2",0.00114584832074096,"R2_21","c4",0.625,625,1619.17067411046,1.61917067411046e-09,0.0330140872665288,5.34554419344868e-05,"control","active",1,"F",2022-04-25,5,1
"Test - C2",21,"R2",0.00396307027257251,"R2_36","c2",0.418,418,500.216164165539,5.00216164165539e-10,0.369605855910993,0.000184882823496918,"control","active",6,"F",2022-04-25,5,1
